file_name	category	size_label	size_bytes	url
ERR15695857_1.fastq.gz	raw_cutrun_fastq	591M	591249078	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15695857/ERR15695857_1.fastq.gz
ERR15695857_2.fastq.gz	raw_cutrun_fastq	612M	612347258	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/057/ERR15695857/ERR15695857_2.fastq.gz
ERR15695855_1.fastq.gz	raw_cutrun_fastq	628M	628012125	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/055/ERR15695855/ERR15695855_1.fastq.gz
ERR15695855_2.fastq.gz	raw_cutrun_fastq	646M	645979529	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/055/ERR15695855/ERR15695855_2.fastq.gz
ERR15695856_1.fastq.gz	raw_cutrun_fastq	562M	561939584	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15695856/ERR15695856_1.fastq.gz
ERR15695856_2.fastq.gz	raw_cutrun_fastq	571M	570726652	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/056/ERR15695856/ERR15695856_2.fastq.gz
ERR15695854_1.fastq.gz	raw_cutrun_fastq	479M	479304832	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/054/ERR15695854/ERR15695854_1.fastq.gz
ERR15695854_2.fastq.gz	raw_cutrun_fastq	487M	487084234	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/054/ERR15695854/ERR15695854_2.fastq.gz
ERR15695852_1.fastq.gz	raw_cutrun_fastq	575M	574598631	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15695852/ERR15695852_1.fastq.gz
ERR15695852_2.fastq.gz	raw_cutrun_fastq	586M	586123551	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15695852/ERR15695852_2.fastq.gz
ERR15695853_1.fastq.gz	raw_cutrun_fastq	538M	538065978	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/053/ERR15695853/ERR15695853_1.fastq.gz
ERR15695853_2.fastq.gz	raw_cutrun_fastq	549M	549147756	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/053/ERR15695853/ERR15695853_2.fastq.gz
ERR15695860_1.fastq.gz	raw_cutrun_fastq	551M	551080498	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15695860/ERR15695860_1.fastq.gz
ERR15695860_2.fastq.gz	raw_cutrun_fastq	573M	573307451	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15695860/ERR15695860_2.fastq.gz
ERR15695858_1.fastq.gz	raw_cutrun_fastq	685M	684643378	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/058/ERR15695858/ERR15695858_1.fastq.gz
ERR15695858_2.fastq.gz	raw_cutrun_fastq	712M	712348044	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/058/ERR15695858/ERR15695858_2.fastq.gz
ERR15695859_1.fastq.gz	raw_cutrun_fastq	654M	653837270	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15695859/ERR15695859_1.fastq.gz
ERR15695859_2.fastq.gz	raw_cutrun_fastq	685M	684627974	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/059/ERR15695859/ERR15695859_2.fastq.gz
ERR15695851_1.fastq.gz	raw_cutrun_fastq	587M	587479370	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/051/ERR15695851/ERR15695851_1.fastq.gz
ERR15695851_2.fastq.gz	raw_cutrun_fastq	613M	612549726	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/051/ERR15695851/ERR15695851_2.fastq.gz
ERR15695849_1.fastq.gz	raw_cutrun_fastq	615M	614533988	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/049/ERR15695849/ERR15695849_1.fastq.gz
ERR15695849_2.fastq.gz	raw_cutrun_fastq	645M	645193844	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/049/ERR15695849/ERR15695849_2.fastq.gz
ERR15695850_1.fastq.gz	raw_cutrun_fastq	611M	610569864	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/050/ERR15695850/ERR15695850_1.fastq.gz
ERR15695850_2.fastq.gz	raw_cutrun_fastq	640M	640063808	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/050/ERR15695850/ERR15695850_2.fastq.gz
